,Brand,Date,Sales
0,TOYOTA,2018-01-01,40726.0
1,DAIHATSU,2018-01-01,18803.0
2,MITSUBISHI MOTORS,2018-01-01,15915.0
3,HONDA,2018-01-01,16287.0
4,SUZUKI,2018-01-01,10818.0
5,MITSUBISHI FUSO,2018-01-01,4803.0
6,HINO,2018-01-01,3264.0
7,ISUZU,2018-01-01,1683.0
8,WULING,2018-01-01,836.0
9,DATSUN,2018-01-01,2372.0
10,HYUNDAI (PC),2018-01-01,330.0
11,NISSAN,2018-01-01,192.0
12,B M W,2018-01-01,360.0
13,DFSK,2018-01-01,70.0
14,UD TRUCK,2018-01-01,143.0
15,RENAULT,2018-01-01,35.0
16,MINI,2018-01-01,
17,FAW,2018-01-01,20.0
18,VOLKSWAGEN,2018-01-01,
19,SCANIA,2018-01-01,
20,AUDI,2018-01-01,
21,BRAND,2018-01-01,
22,TOYOTA,2018-02-01,39756.0
23,DAIHATSU,2018-02-01,15453.0
24,MITSUBISHI MOTORS,2018-02-01,12355.0
25,HONDA,2018-02-01,9361.0
26,SUZUKI,2018-02-01,10937.0
27,MITSUBISHI FUSO,2018-02-01,4527.0
28,HINO,2018-02-01,3441.0
29,ISUZU,2018-02-01,2000.0
30,WULING,2018-02-01,1341.0
31,DATSUN,2018-02-01,149.0
32,HYUNDAI (PC),2018-02-01,308.0
33,NISSAN,2018-02-01,539.0
34,B M W,2018-02-01,355.0
35,DFSK,2018-02-01,80.0
36,UD TRUCK,2018-02-01,105.0
37,RENAULT,2018-02-01,51.0
38,MINI,2018-02-01,
39,FAW,2018-02-01,
40,VOLKSWAGEN,2018-02-01,
41,SCANIA,2018-02-01,
42,AUDI,2018-02-01,
43,BRAND,2018-02-01,
44,TOYOTA,2018-03-01,44060.0
45,DAIHATSU,2018-03-01,16988.0
46,MITSUBISHI MOTORS,2018-03-01,12362.0
47,HONDA,2018-03-01,9695.0
48,SUZUKI,2018-03-01,12061.0
49,MITSUBISHI FUSO,2018-03-01,5180.0
50,HINO,2018-03-01,3936.0
51,ISUZU,2018-03-01,1955.0
52,WULING,2018-03-01,1487.0
53,DATSUN,2018-03-01,3517.0
54,HYUNDAI (PC),2018-03-01,314.0
55,NISSAN,2018-03-01,661.0
56,B M W,2018-03-01,266.0
57,DFSK,2018-03-01,29.0
58,UD TRUCK,2018-03-01,156.0
59,RENAULT,2018-03-01,2.0
60,MINI,2018-03-01,
61,FAW,2018-03-01,10.0
62,VOLKSWAGEN,2018-03-01,
63,SCANIA,2018-03-01,
64,AUDI,2018-03-01,
65,BRAND,2018-03-01,
66,TOYOTA,2018-04-01,47035.0
67,DAIHATSU,2018-04-01,18799.0
68,MITSUBISHI MOTORS,2018-04-01,11092.0
69,HONDA,2018-04-01,16170.0
70,SUZUKI,2018-04-01,9459.0
71,MITSUBISHI FUSO,2018-04-01,5304.0
72,HINO,2018-04-01,3381.0
73,ISUZU,2018-04-01,2649.0
74,WULING,2018-04-01,2110.0
75,DATSUN,2018-04-01,1613.0
76,HYUNDAI (PC),2018-04-01,253.0
77,NISSAN,2018-04-01,688.0
78,B M W,2018-04-01,202.0
79,DFSK,2018-04-01,152.0
80,UD TRUCK,2018-04-01,182.0
81,RENAULT,2018-04-01,49.0
82,MINI,2018-04-01,54.0
83,FAW,2018-04-01,14.0
84,VOLKSWAGEN,2018-04-01,
85,SCANIA,2018-04-01,
86,AUDI,2018-04-01,
87,BRAND,2018-04-01,
88,TOYOTA,2018-05-01,43544.0
89,DAIHATSU,2018-05-01,17664.0
90,MITSUBISHI MOTORS,2018-05-01,12324.0
91,HONDA,2018-05-01,14549.0
92,SUZUKI,2018-05-01,11662.0
93,MITSUBISHI FUSO,2018-05-01,4848.0
94,HINO,2018-05-01,3672.0
95,ISUZU,2018-05-01,2171.0
96,WULING,2018-05-01,1817.0
97,DATSUN,2018-05-01,1021.0
98,HYUNDAI (PC),2018-05-01,296.0
99,NISSAN,2018-05-01,416.0
100,B M W,2018-05-01,247.0
101,DFSK,2018-05-01,242.0
102,UD TRUCK,2018-05-01,153.0
103,RENAULT,2018-05-01,
104,MINI,2018-05-01,41.0
105,FAW,2018-05-01,40.0
106,VOLKSWAGEN,2018-05-01,
107,SCANIA,2018-05-01,
108,AUDI,2018-05-01,
109,BRAND,2018-05-01,
110,TOYOTA,2018-06-01,30570.0
111,DAIHATSU,2018-06-01,6639.0
112,MITSUBISHI MOTORS,2018-06-01,7558.0
113,HONDA,2018-06-01,7043.0
114,SUZUKI,2018-06-01,8244.0
115,MITSUBISHI FUSO,2018-06-01,4152.0
116,HINO,2018-06-01,2195.0
117,ISUZU,2018-06-01,1382.0
118,WULING,2018-06-01,1126.0
119,DATSUN,2018-06-01,509.0
120,HYUNDAI (PC),2018-06-01,133.0
121,NISSAN,2018-06-01,84.0
122,B M W,2018-06-01,111.0
123,DFSK,2018-06-01,142.0
124,UD TRUCK,2018-06-01,107.0
125,RENAULT,2018-06-01,
126,MINI,2018-06-01,2.0
127,FAW,2018-06-01,
128,VOLKSWAGEN,2018-06-01,
129,SCANIA,2018-06-01,
130,AUDI,2018-06-01,
131,BRAND,2018-06-01,
132,TOYOTA,2018-07-01,51774.0
133,DAIHATSU,2018-07-01,17790.0
134,MITSUBISHI MOTORS,2018-07-01,16380.0
135,HONDA,2018-07-01,14778.0
136,SUZUKI,2018-07-01,13775.0
137,MITSUBISHI FUSO,2018-07-01,5136.0
138,HINO,2018-07-01,4345.0
139,ISUZU,2018-07-01,2466.0
140,WULING,2018-07-01,1786.0
141,DATSUN,2018-07-01,773.0
142,HYUNDAI (PC),2018-07-01,176.0
143,NISSAN,2018-07-01,48.0
144,B M W,2018-07-01,319.0
145,DFSK,2018-07-01,556.0
146,UD TRUCK,2018-07-01,157.0
147,RENAULT,2018-07-01,
148,MINI,2018-07-01,1.0
149,FAW,2018-07-01,
150,VOLKSWAGEN,2018-07-01,
151,SCANIA,2018-07-01,
152,AUDI,2018-07-01,
153,BRAND,2018-07-01,
154,TOYOTA,2018-08-01,48811.0
155,DAIHATSU,2018-08-01,17382.0
156,MITSUBISHI MOTORS,2018-08-01,15099.0
157,HONDA,2018-08-01,14474.0
158,SUZUKI,2018-08-01,10108.0
159,MITSUBISHI FUSO,2018-08-01,4944.0
160,HINO,2018-08-01,3634.0
161,ISUZU,2018-08-01,1906.0
162,WULING,2018-08-01,1270.0
163,DATSUN,2018-08-01,350.0
164,HYUNDAI (PC),2018-08-01,203.0
165,NISSAN,2018-08-01,204.0
166,B M W,2018-08-01,282.0
167,DFSK,2018-08-01,
168,UD TRUCK,2018-08-01,188.0
169,RENAULT,2018-08-01,
170,MINI,2018-08-01,
171,FAW,2018-08-01,
172,VOLKSWAGEN,2018-08-01,
173,SCANIA,2018-08-01,
174,AUDI,2018-08-01,
175,BRAND,2018-08-01,
176,TOYOTA,2018-09-01,44441.0
177,DAIHATSU,2018-09-01,17041.0
178,MITSUBISHI MOTORS,2018-09-01,15588.0
179,HONDA,2018-09-01,12382.0
180,SUZUKI,2018-09-01,10190.0
181,MITSUBISHI FUSO,2018-09-01,4020.0
182,HINO,2018-09-01,3502.0
183,ISUZU,2018-09-01,1977.0
184,WULING,2018-09-01,1707.0
185,DATSUN,2018-09-01,396.0
186,HYUNDAI (PC),2018-09-01,344.0
187,NISSAN,2018-09-01,192.0
188,B M W,2018-09-01,254.0
189,DFSK,2018-09-01,243.0
190,UD TRUCK,2018-09-01,174.0
191,RENAULT,2018-09-01,
192,MINI,2018-09-01,22.0
193,FAW,2018-09-01,
194,VOLKSWAGEN,2018-09-01,
195,SCANIA,2018-09-01,
196,AUDI,2018-09-01,
197,BRAND,2018-09-01,
198,TOYOTA,2018-10-01,53260.0
199,DAIHATSU,2018-10-01,21029.0
200,MITSUBISHI MOTORS,2018-10-01,17269.0
201,HONDA,2018-10-01,15986.0
202,SUZUKI,2018-10-01,10596.0
203,MITSUBISHI FUSO,2018-10-01,3492.0
204,HINO,2018-10-01,4456.0
205,ISUZU,2018-10-01,2641.0
206,WULING,2018-10-01,1409.0
207,DATSUN,2018-10-01,440.0
208,HYUNDAI (PC),2018-10-01,474.0
209,NISSAN,2018-10-01,216.0
210,B M W,2018-10-01,293.0
211,DFSK,2018-10-01,94.0
212,UD TRUCK,2018-10-01,196.0
213,RENAULT,2018-10-01,
214,MINI,2018-10-01,2.0
215,FAW,2018-10-01,
216,VOLKSWAGEN,2018-10-01,
217,SCANIA,2018-10-01,
218,AUDI,2018-10-01,
219,BRAND,2018-10-01,
220,TOYOTA,2018-11-01,47568.0
221,DAIHATSU,2018-11-01,17601.0
222,MITSUBISHI MOTORS,2018-11-01,16069.0
223,HONDA,2018-11-01,15076.0
224,SUZUKI,2018-11-01,8083.0
225,MITSUBISHI FUSO,2018-11-01,4062.0
226,HINO,2018-11-01,4142.0
227,ISUZU,2018-11-01,2713.0
228,WULING,2018-11-01,885.0
229,DATSUN,2018-11-01,520.0
230,HYUNDAI (PC),2018-11-01,385.0
231,NISSAN,2018-11-01,96.0
232,B M W,2018-11-01,197.0
233,DFSK,2018-11-01,170.0
234,UD TRUCK,2018-11-01,201.0
235,RENAULT,2018-11-01,
236,MINI,2018-11-01,29.0
237,FAW,2018-11-01,
